Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,1021,55.4157,51.3761,16.3394884,2
CE1,1022,32.4598,-31.981,16.33814814,4
CE1,1023,9.29002,107.17,16.32786337,5
CE1,1024,-11.8559,-157.553,16.32260849,5
CE1,1025,56.0575,135.382,16.32011041,5
CE1,1026,14.4875,104.688,16.31793869,2
CE1,1027,-3.9849,41.7959,16.31566415,3
CE1,1028,-36.7115,18.386,16.31529007,5
CE1,1029,-52.455,97.6353,16.31078657,2
CE1,1030,-17.1097,-141.543,16.30296901,5
CE1,1031,-52.3266,126.207,16.30219804,1
CE1,1032,17.1693,116.614,16.2976689,5
CE1,1033,52.9451,113.144,16.29486568,4
CE1,1034,-36.0786,52.3721,16.29344502,2
CE1,1035,-22.1252,-138.377,16.29222713,2
CE1,1036,0.376364,166.565,16.28649743,5
CE1,1037,-46.7344,-15.755,16.28631853,2
CE1,1038,-5.13061,-140.315,16.27880925,5
CE1,1039,-54.3221,0.154237,16.27425342,2
CE1,1040,1.8711,-131.446,16.27412464,5
CE1,1041,-43.3091,45.806,16.27341353,2
CE1,1042,-32.3591,-115.997,16.27239982,5
CE1,1043,-2.82704,64.6238,16.26976795,5
CE1,1044,7.68897,66.4677,16.26738552,4
CE1,1045,37.0931,-159.36,16.26374717,5
CE1,1046,-59.1007,31.0511,16.26280233,4
CE1,1047,-16.8995,146,16.25988433,2
CE1,1048,-9.45643,1.88996,16.25935728,3
CE1,1049,32.6035,-83.252,16.25830199,2
CE1,1050,30.0977,-118.652,16.25446992,5
CE1,1051,10.7167,154.754,16.24739224,5
CE1,1052,-13.9131,97.5799,16.24685884,3
CE1,1053,-24.923,-137.274,16.2409378,5
CE1,1054,28.8001,133.339,16.24071432,5
CE1,1055,-11.0987,149.117,16.23864768,5
CE1,1056,-49.0897,-23.706,16.2370616,3
CE1,1057,24.6826,-109.171,16.23436969,5
CE1,1058,62.686,7.69113,16.22684395,1
CE1,1059,-10.1884,-128.876,16.22614825,5
CE1,1060,-47.7536,161.56,16.21626172,5
CE1,1061,-43.956,-116.543,16.21098714,5
CE1,1062,-12.682,153.195,16.20894733,5
CE1,1063,-32.7229,8.15891,16.20668924,2
CE1,1064,-32.0637,45.997,16.20580637,2
CE1,1065,-47.7095,85.7996,16.20330869,5
CE1,1066,21.1345,-88.898,16.19974775,5
CE1,1067,-43.8805,21.546,16.19898834,2
CE1,1068,-44.4986,-29.249,16.19742697,2
CE1,1069,-34.5105,24.7523,16.19200223,5
CE1,1070,9.43006,-141.61,16.19039539,5
CE1,1071,51.7727,-154.628,16.1902298,2
CE1,1072,-37.9921,-24.426,16.18953891,5
CE1,1073,29.1369,74.7363,16.18924766,5
CE1,1074,-18.3935,42.6482,16.18883852,5
CE1,1075,-29.2383,-48.634,16.18535327,5
CE1,1076,14.7474,-117.663,16.184949,5
CE1,1077,31.8458,-101.326,16.17664955,4
CE1,1078,-17.395,-147.702,16.16842733,5
CE1,1079,-26.2713,99.263,16.16820523,5
CE1,1080,30.2634,-132.812,16.16651018,5
CE1,1081,-26.7303,132.804,16.15688051,2
CE1,1082,-47.8404,-128.352,16.15593789,2
CE1,1083,55.9486,126.521,16.14737494,5
CE1,1084,53.3033,-92.919,16.14686272,5
CE1,1085,20.6376,-119.241,16.14623837,5
CE1,1086,-23.3354,123.422,16.14435115,5
CE1,1087,-13.7691,101.067,16.13470687,5
CE1,1088,17.0294,152.05,16.1263123,5
CE1,1089,31.5708,48.8224,16.12008148,2
CE1,1090,-16.4203,45.1761,16.11940084,5
CE1,1091,-24.0466,16.8951,16.11557358,3
CE1,1092,-47.9944,-67.186,16.1128495,2
CE1,1093,-43.8562,-127.79,16.11094282,3
CE1,1094,33.4584,-93.679,16.10185709,5
CE1,1095,14.1644,134.348,16.09759925,5
CE1,1096,-43.4495,162.014,16.09702934,3
CE1,1097,61.8436,40.4158,16.09616151,2
